perf_id1,perf_id2,sim_hpcp,sim_centroid,sim_metadata,label
P_49734,P_14137,0.9742605686187744,0.9932070004962389,0.3333333333333333,0
P_49734,P_591387,0.9385635852813721,0.9729564033002615,0.0,0
P_49734,P_682680,0.9814574718475342,0.9866517145273922,0.0,0
P_49734,P_387417,0.945013165473938,0.9747250338677484,0.0,0
P_49734,P_183611,0.9365211129188538,0.9768580402753985,0.3333333333333333,0
P_49734,P_197418,0.9035138487815857,0.9594570398245985,0.0,0
P_49734,P_7280,0.9839463233947754,0.9527318130286127,0.3333333333333333,0
P_49734,P_38865,0.9565231204032898,0.9879171145778688,0.3333333333333333,0
P_49734,P_398167,0.9823580384254456,0.9933324230934399,0.0,0
P_49734,P_30256,0.9157783389091492,0.9700838485429379,0.0,0
P_49734,P_24222,0.859686553478241,0.9785842125100308,0.0,0
P_49734,P_218179,0.9901136159896851,0.9861651878617123,0.0,0
P_49734,P_772504,0.8163167834281921,0.9439368508263377,0.0,0
P_49734,P_197166,0.9156474471092224,0.9895338612821184,0.0,0
P_49734,P_438942,0.9813693165779114,0.9788224245654915,0.0,0
P_49734,P_222897,0.9345255494117737,0.976197553366315,0.0,0
P_49734,P_364784,0.8972402215003967,0.943374011564981,0.0,0
P_49734,P_750171,0.9315809607505798,0.9890672562572494,0.0,0
P_49734,P_31738,0.9879307746887207,0.9917350453128944,0.0,0
P_49734,P_432206,0.8674930334091187,0.9518171580853406,0.3333333333333333,0
P_49734,P_152324,0.9537559151649475,0.9696510737736032,0.0,0
P_49734,P_86463,0.987117350101471,0.9860051451459616,0.0,0
P_49734,P_533033,0.8713359236717224,0.9331427147326095,0.0,0
P_49734,P_224251,0.9678588509559631,0.9794767095348723,0.0,0
P_49734,P_744090,0.9788667559623718,0.9855519557737891,0.0,0
P_49734,P_87989,0.9649516344070435,0.9664458476237325,0.0,0
P_49734,P_438778,0.9591479897499084,0.9745965518365562,0.0,0
P_49734,P_529791,0.9816605448722839,0.9813980490011363,0.0,0
P_49734,P_4755,0.9027307629585266,0.9923321390583708,0.3333333333333333,0
P_49734,P_453246,0.9390507340431213,0.9724300933565573,0.0,0
P_49734,P_102653,0.9691291451454163,0.9688061037225947,0.0,0
P_49734,P_137537,0.9554978609085083,0.9579100952697482,0.0,0
P_49734,P_112044,0.8938104510307312,0.9732558136930514,0.0,0
P_49734,P_330349,0.9399794936180115,0.9638295322296867,0.3333333333333333,0
P_49734,P_57482,0.9924603700637817,0.9902885987216051,0.3333333333333333,0
P_49734,P_356154,0.9255248308181763,0.9860227497548112,0.0,0
P_49734,P_765150,0.9550226926803589,0.9884595198924717,0.0,0
P_49734,P_173265,0.9432970881462097,0.9723799832027368,0.0,0
P_49734,P_694077,0.9041080474853516,0.9663320528132712,0.0,0
P_49734,P_514509,0.9794504642486572,0.9535109041454114,0.0,0
P_49734,P_269278,0.9757035374641418,0.9624920309210596,0.0,0
P_49734,P_4541,0.9002322554588318,0.9859540871644582,0.0,0
P_49734,P_344643,0.9531008005142212,0.9575106860973079,0.0,0
P_49734,P_186784,0.976560115814209,0.9842314738592882,0.0,0
P_49734,P_70168,0.9630966186523438,0.97505482680888,0.0,0
P_49734,P_150054,0.9960872530937195,0.9852282373677291,0.0,0
P_49734,P_545154,0.9099814295768738,0.9706239818956844,0.0,0
P_49734,P_771104,0.9633358716964722,0.9898463028114451,0.0,0
P_49734,P_286660,0.9860120415687561,0.9886333842297765,0.0,0
